Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
GNCC,GENCO CORP,Pink No Information,0.003000,,0,Common Stock,USA,
UTRX,UNITRONIX CORP,Pink No Information,0.008900,,0,Common Stock,USA,South Carolina
WGNR,WEGENER CORP,Pink No Information,0.006100,-8.955200,432070,Common Stock,USA,Georgia
INOW,INFONOW CORP,Pink No Information,0.004300,,0,Common Stock,USA,Colorado
PRLO,PROLOGIC MGMT SYSTEMS INC,Pink No Information,0.006100,,0,Common Stock,USA,Arizona
HABC,HABERSHAM BANCORP,Pink No Information,0.005050,,0,Common Stock,USA,Georgia
NFTI,NOFIRE TECHNOLOGIES INC,Pink No Information,0.014525,,0,Common Stock,USA,New Jersey
PLNTQ,PROLIANCE INTL INC,Pink No Information,0.001000,,0,Common Stock,USA,Connecticut
OMRX,ORTHOMETRIX INC,Pink No Information,0.001600,0.000000,100,Common Stock,USA,Florida
MEGH,MEGALITH CORP,Pink No Information,0.003000,36.363600,450000,Common Stock,USA,Texas
GSAC,GELSTAT CORP,Pink No Information,0.004350,,0,Common Stock,USA,Maryland
SINX,SIONIX CORP,Pink No Information,0.000700,0.000000,2515000,Common Stock,USA,Texas
EKWX,EKWAN-X INC,Pink No Information,0.000100,0.000000,939000,Common Stock,Canada,Ontario
CZNB,CITIZENS BANCORP (CA),Pink No Information,0.006000,,0,Common Stock,USA,California
WIRX,WIRELESS XCESSORIES GRP,Pink No Information,0.008000,,0,Common Stock,USA,Pennsylvania
AACS,AMER COMMERCE SOLTNS INC,Pink No Information,0.000700,,0,Common Stock,USA,Florida
CHAG,CHANCELLOR GROUP INC,Pink No Information,0.004800,20.000000,226000,Common Stock,USA,Texas
MVAC,MOTORVAC TECHS INC,Pink No Information,0.020000,,0,Common Stock,Canada,Ontario
ULGX,UROLOGIX INC,Pink No Information,0.003750,44.230800,700,Common Stock,USA,Minnesota
ASNB,EKIMAS CORPORATION,Pink No Information,0.018000,,0,Common Stock,USA,Massachusetts
WAXS,WORLD ACCESS INC,Pink No Information,0.006000,,0,Common Stock,USA,Georgia
MPEG,INNOVACOM INC,Pink No Information,0.001500,0.000000,10000,Common Stock,USA,Florida
SLUP,SOLUCORP INDUSTRIES LTD,Pink No Information,0.000800,,0,Common Stock,USA,Florida
SHGP,SHARPE RESOURCE CORP,Pink No Information,0.009400,,0,Common Stock,USA,Virginia
GRLF,GREEN LEAF INNOVATNS INC,Pink No Information,0.000100,,0,Common Stock,USA,Georgia
EQTL,EQUITECH INTL CORP,Pink No Information,0.008000,,0,Common Stock,USA,New Jersey
CNDL,CANDLEWOOD HOTEL CO INC,Pink No Information,0.020000,,0,Common Stock,USA,Kansas
MNSF,MANSFELDER METALS LTD,Pink No Information,0.016225,,0,Common Stock,Hong Kong,
USEI,US ENERGY INITIATIVES CRP,Pink No Information,0.000100,0.000000,10000,Common Stock,USA,California
DPLS,DARKPULSE INC,Pink Current,0.000200,0.000000,46127047,Common Stock,USA,New York
IRNC,IRONCLAD ENCRYPTION CORP,Pink Current,0.000100,0.000000,51000,Common Stock,USA,Texas
ITNF,INTERNET INFINITY INC,Pink No Information,0.010000,,0,Common Stock,USA,California
PGUZ,PEGASUS PHARMS INC,Pink No Information,0.005100,-4.850700,48255,Common Stock,USA,Florida
BOTX,BONTEX INC,Pink No Information,0.010000,,0,Common Stock,China,
WWRL,WORLD WIRELESS COMMUN INC,Pink No Information,0.003600,-37.931000,81400,Common Stock,,
SUNC,SUNCAST SOLAR ENERGY INC,Pink No Information,0.006000,1.694900,50000,Common Stock,USA,Colorado
SKVY,SENTRY TECH CORP,Pink No Information,0.002100,,0,Common Stock,USA,New York
MRPS,MICROPHONICS INC,Pink No Information,0.003600,,0,Common Stock,USA,Tennessee
ADLI,AMER MEDICAL TECHS INC,Pink No Information,0.004000,,0,Common Stock,USA,Texas
GLEC,GLOBAL ECOLOGY CORP,Pink No Information,0.000700,,0,Common Stock,USA,New Jersey
PSCO,PROTOSOURCE CORP,Pink No Information,0.012400,,0,Common Stock,Malaysia,
AVXT,AVAX TECHS INC,Pink No Information,0.002900,16.000000,1000,Common Stock,USA,Pennsylvania
PRVU,PREVU INC,Pink No Information,0.002800,75.000000,537500,Common Stock,USA,Minnesota
GPTX,GLOBAL PAYMENT TECHS INC,Pink No Information,0.015000,,0,Common Stock,USA,New York
CLTY,CELERITY SOLUTIONS INC,Pink No Information,0.015000,,0,Common Stock,USA,Massachusetts
EXSO,CONSOL ECO-SYSTEMS INC,Pink No Information,0.001700,0.000000,5475,Common Stock,USA,Washington
SEYE,SIGNATURE EYEWEAR INC,Pink No Information,0.015000,,0,Common Stock,USA,California
IDIG,INTL DIGITAL HOLDING INC,Pink No Information,0.004505,,0,Common Stock,USA,Florida
SGBI,SANGUI BIOTECH INTL INC,OTCQB,0.015950,,0,Common Stock,Germany,
QTXB,QUANTRX BIOMEDICAL CORP,Pink Current,0.005500,,0,Common Stock,USA,Oregon
ENHT,ENHERENT CORP,Pink No Information,0.002700,,0,Common Stock,USA,New Jersey
BRCOQ,BEARD CO,Pink No Information,0.007000,,0,Common Stock,USA,Oklahoma
HWVI,HAWAII VINTAGE CHOCOLATE,Pink No Information,0.002300,,0,Common Stock,USA,Hawaii
ACCR,ACCESS-POWER & CO INC,Pink No Information,0.003600,24.137900,50000,Common Stock,USA,Michigan
PHLI,PACIFICHEALTH LABS INC,Pink No Information,0.008000,,0,Common Stock,USA,New Jersey
FFPM,FFP MARKETING CO INC,Pink No Information,0.005000,,0,Common Stock,USA,Texas
FPPP,FIELDPOINT PETROLEUM CORP,Pink No Information,0.010100,0.000000,58900,Common Stock,USA,Texas
BZWR,BUSINESS WARRIOR CORP,Pink Current,0.009700,-3.000000,251699,Common Stock,USA,Nevada
